Year,Month,Sector,Issued,Refused,Withdrawn,Prefix
2012,Oct,Sport,4.0,0.0,1.0,
2012,Nov,Agriculture & Fisheries,6.0,3.0,0.0,
2012,Nov,Catering,20.0,9.0,0.0,
2012,Nov,Domestic,1.0,2.0,0.0,
2012,Nov,Education,5.0,0.0,0.0,
2012,Nov,Exchange Agreements,1.0,0.0,0.0,
2012,Nov,Industry,41.0,2.0,3.0,
2012,Nov,Medical & Nursing,55.0,7.0,0.0,
2012,Nov,Service Industry,202.0,27.0,3.0,
2012,Nov,Sport,0.0,1.0,0.0,
2012,Dec,Agriculture & Fisheries,9.0,2.0,0.0,
2012,Dec,Catering,11.0,7.0,0.0,
2012,Dec,Education,5.0,2.0,0.0,
2012,Dec,Entertainment,2.0,0.0,0.0,
2012,Dec,Industry,68.0,5.0,0.0,
2012,Dec,Medical & Nursing,27.0,1.0,0.0,
2012,Dec,Service Industry,147.0,19.0,2.0,
2012,Dec,Sport,2.0,0.0,0.0,
2013,Jan,Agriculture & Fisheries,7.0,5.0,0.0,
2013,Jan,Catering,20.0,10.0,1.0,
2013,Jan,Domestic,1.0,2.0,0.0,
2013,Jan,Education,10.0,2.0,1.0,
2013,Jan,Entertainment,6.0,0.0,0.0,
2013,Jan,Industry,38.0,5.0,3.0,
2013,Jan,Medical & Nursing,59.0,9.0,0.0,
2013,Jan,Service Industry,188.0,16.0,8.0,
2013,Jan,Sport,1.0,1.0,0.0,
2013,Feb,Agriculture & Fisheries,5.0,1.0,0.0,
2013,Feb,Catering,23.0,10.0,0.0,
2013,Feb,Domestic,4.0,0.0,0.0,
2013,Feb,Education,5.0,1.0,1.0,
2013,Feb,Entertainment,2.0,0.0,0.0,
2013,Feb,Industry,63.0,3.0,2.0,
2013,Feb,Medical & Nursing,56.0,7.0,0.0,
2013,Feb,Service Industry,154.0,24.0,8.0,
2013,Feb,Sport,1.0,0.0,0.0,
2013,Mar,Agriculture & Fisheries,7.0,4.0,0.0,
2013,Mar,Catering,12.0,6.0,1.0,
2013,Mar,Domestic,4.0,1.0,0.0,
2013,Mar,Education,2.0,2.0,0.0,
2013,Mar,Industry,69.0,6.0,4.0,
2013,Mar,Medical & Nursing,32.0,5.0,1.0,
2013,Mar,Service Industry,189.0,10.0,4.0,
2013,Mar,Sport,4.0,1.0,0.0,
2013,Apr,Agriculture & Fisheries,3.0,2.0,0.0,
2013,Apr,Catering,15.0,1.0,0.0,
2013,Apr,Education,4.0,3.0,0.0,
2013,Apr,Entertainment,1.0,0.0,0.0,
2013,Apr,Industry,43.0,6.0,1.0,
2013,Apr,Medical & Nursing,36.0,4.0,0.0,
2013,Apr,Service Industry,124.0,2.0,0.0,
2013,Apr,Sport,4.0,0.0,0.0,
2013,May,Agriculture & Fisheries,7.0,4.0,0.0,
2013,May,Catering,22.0,9.0,0.0,
2013,May,Domestic,3.0,0.0,0.0,
2013,May,Education,8.0,1.0,0.0,
2013,May,Entertainment,2.0,1.0,0.0,
2013,May,Industry,87.0,3.0,3.0,
2013,May,Medical & Nursing,34.0,6.0,1.0,
2013,May,Service Industry,194.0,16.0,3.0,
2013,May,Sport,2.0,0.0,0.0,
2013,Jun,Agriculture & Fisheries,7.0,2.0,0.0,
2013,Jun,Catering,13.0,7.0,1.0,
2013,Jun,Domestic,2.0,0.0,0.0,
2013,Jun,Education,7.0,3.0,0.0,
2013,Jun,Entertainment,1.0,0.0,0.0,
2013,Jun,Exchange Agreements,7.0,0.0,0.0,
2013,Jun,Industry,45.0,6.0,0.0,
2013,Jun,Medical & Nursing,36.0,8.0,1.0,
2013,Jun,Service Industry,147.0,12.0,3.0,
2013,Jun,Sport,3.0,1.0,0.0,
2013,Jul,Agriculture & Fisheries,5.0,2.0,0.0,
2013,Jul,Catering,10.0,14.0,1.0,
2013,Jul,Domestic,2.0,0.0,0.0,
2013,Jul,Education,7.0,1.0,0.0,
2013,Jul,Exchange Agreements,1.0,0.0,0.0,
2013,Jul,Industry,72.0,3.0,1.0,
2013,Jul,Medical & Nursing,70.0,5.0,3.0,
2013,Jul,Service Industry,170.0,13.0,7.0,
2013,Jul,Sport,6.0,1.0,0.0,
2013,Aug,Agriculture & Fisheries,3.0,0.0,1.0,
2013,Aug,Catering,10.0,6.0,1.0,
2013,Aug,Domestic,0.0,1.0,0.0,
2013,Aug,Education,9.0,0.0,2.0,
2013,Aug,Entertainment,4.0,1.0,0.0,
2013,Aug,Industry,62.0,4.0,2.0,
2013,Aug,Medical & Nursing,50.0,6.0,4.0,
2013,Aug,Service Industry,183.0,16.0,2.0,
